h,m_b,W
14,25,
14,30,
14,35,
14,40,
14,45,
14,50,
14,55,
15,0,
15,5,
15,10,108118.73674239393
15,15,107631.44997395003
15,20,107685.96217384508
15,25,112069.24255327426
15,30,111411.5211304329
15,35,106036.87599623488
15,40,111630.39088541997
15,45,107812.68846354003
15,50,99889.61562498985
15,55,94805.08590470166
16,0,100210.56138022998
16,5,94585.25213789189
16,10,91292.78432288003
16,15,97101.82807242419
16,20,97452.21872395332
16,25,92215.76533759864
16,30,97010.90851218857
16,35,93633.72235573581
16,40,91652.291893849
16,45,89014.76541667667
16,50,92329.67976565
16,55,92098.43977453167
17,0,90789.00670021692
17,5,95485.83050270902
17,10,97165.80710936003
17,15,99862.22403644002
17,20,99008.48810913898
17,25,95471.85763020001
17,30,98382.04726823827
17,35,97309.38525063756
17,40,92254.71335936339
17,45,96173.18807871714
17,50,95257.92221467225
17,55,93018.83704888706
18,0,96562.00010451506
18,5,96902.56292085859
18,10,96651.63809896333
18,15,99408.2302343567
18,20,96410.98785895272
18,25,97336.0135676867
18,30,99450.41103157187
18,35,95506.80481903705
18,40,97897.84028647334
18,45,99431.34311868013
18,50,92806.69460701005
18,55,96293.09118957988
19,0,94059.26072914334
19,5,90557.58283895598
19,10,92581.46367189665
19,15,88818.36332044481
19,20,88222.42364939659
19,25,89385.396869796
19,30,88697.74619793666
19,35,91859.40753031771
19,40,92169.7092803165
19,45,90447.44377604334
19,50,89860.36901040332
19,55,86752.33199815676
20,0,91541.51549477005
20,5,88502.57781141812
20,10,92411.41329968684
20,15,88555.10656250002
20,20,88562.11991403019
20,25,88881.69463084902
20,30,91230.63828124665
20,35,89123.95323019868
20,40,90345.45660011709
20,45,90703.57161461996
20,50,88616.72844376924
20,55,88637.21891482697
21,0,91094.00463541999
21,5,86329.98339842907
21,10,89658.45469270574
21,15,85473.44360269021
21,20,88999.06579222073
21,25,86096.8935775552
21,30,91190.33961865421
21,35,85752.5570573
21,40,85787.32791388505
21,45,88692.07919271666
21,50,84830.67900809034
21,55,89767.33974445336
22,0,83883.41880204338
22,5,89083.918060798
22,10,84451.72137161744
22,15,85409.53567709668
22,20,86593.06678512039
22,25,86146.51274810472
22,30,83483.68393227334
22,35,81276.64996316834
22,40,88094.48958335686
22,45,88585.17075516336
22,50,91703.39430615249
22,55,87323.30609899158
23,0,87919.02526038337
23,5,83996.5411405993
23,10,86827.70516989598
23,15,88099.4682552333
23,20,88190.1241319226
23,25,86118.02145172906
23,30,86322.34981770001
23,35,87074.21395656608
23,40,86438.48554686
23,45,87316.59372370034
23,50,86425.80458300668
23,55,87666.19756800839
0,0,87097.37500001682
0,5,88873.24130204668
0,10,85018.93487831549
0,15,89883.35858849999
0,20,82672.48942709331
0,25,86110.62605218177
0,30,85816.92161460665
0,35,83677.22779881481
0,40,85279.72001258588
0,45,82830.7901302
