consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
82019.48779999999,2018,7,184,1,1,2,45,2
86178.64079999998,2018,7,184,1,1,3,0,2
90337.94873333332,2018,7,184,1,1,3,15,2
92978.82179999999,2018,7,184,1,1,3,30,2
94573.48064285713,2018,7,184,1,1,3,45,2
99463.09066666667,2018,7,184,1,1,4,0,2
110115.96486666668,2018,7,184,1,1,4,15,2
116567.69693333334,2018,7,184,1,1,4,30,2
119119.08340000002,2018,7,184,1,1,4,45,2
130438.87333333334,2018,7,184,1,1,5,0,2
145200.0666666667,2018,7,184,1,1,5,15,2
146046.94,2018,7,184,1,1,5,30,2
148367.084,2018,7,184,1,1,5,45,2
146890.29333333333,2018,7,184,1,1,6,0,2
140059.02466666666,2018,7,184,1,1,6,15,2
133009.26799999998,2018,7,184,1,1,6,30,2
133303.05299999999,2018,7,184,1,1,6,45,2
135279.9073333333,2018,7,184,1,1,7,0,2
136045.36066666667,2018,7,184,1,1,7,15,2
137911.92529411765,2018,7,184,1,1,7,30,2
138682.00066666666,2018,7,184,1,1,7,45,2
133133.07642857142,2018,7,184,1,1,8,0,2
132648.09266666666,2018,7,184,1,1,8,15,2
136128.242,2018,7,184,1,1,8,30,2
143995.826,2018,7,184,1,1,8,45,2
148117.03333333333,2018,7,184,1,1,9,0,2
151963.36733333333,2018,7,184,1,1,9,15,2
153795.198,2018,7,184,1,1,9,30,2
147752.72333333333,2018,7,184,1,1,9,45,2
150968.84133333334,2018,7,184,1,1,10,0,2
150256.24800000002,2018,7,184,1,1,10,15,2
144943.24666666664,2018,7,184,1,1,10,30,2
148672.136,2018,7,184,1,1,10,45,2
149738.83733333333,2018,7,184,1,1,11,0,2
150149.78333333333,2018,7,184,1,1,11,15,2
150868.474,2018,7,184,1,1,11,30,2
146435.68266666666,2018,7,184,1,1,11,45,2
144523.56785714283,2018,7,184,1,1,12,0,2
145057.668,2018,7,184,1,1,12,15,2
139864.92733333333,2018,7,184,1,1,12,30,2
137594.87466666667,2018,7,184,1,1,12,45,2
134501.444,2018,7,184,1,1,13,0,2
127512.8562,2018,7,184,1,1,13,15,2
122848.67226666668,2018,7,184,1,1,13,30,2
124571.07606666666,2018,7,184,1,1,13,45,2
116928.03799999997,2018,7,184,1,1,14,0,2
116005.93886666666,2018,7,184,1,1,14,15,2
112327.57713333333,2018,7,184,1,1,14,30,2
109467.16366666667,2018,7,184,1,1,14,45,2
108202.0166,2018,7,184,1,1,15,0,2
107494.99606666666,2018,7,184,1,1,15,15,2
101258.37358823529,2018,7,184,1,1,15,30,2
99746.8804,2018,7,184,1,1,15,45,2
105921.88339999999,2018,7,184,1,1,16,0,2
105990.6197857143,2018,7,184,1,1,16,15,2
106158.98666666666,2018,7,184,1,1,16,30,2
104630.53166666668,2018,7,184,1,1,16,45,2
108131.14686666665,2018,7,184,1,1,17,0,2
105375.5733333333,2018,7,184,1,1,17,15,2
100378.75666666665,2018,7,184,1,1,17,30,2
97687.07766666666,2018,7,184,1,1,17,45,2
97727.55159999998,2018,7,184,1,1,18,0,2
98820.82219999998,2018,7,184,1,1,18,15,2
101648.28486666667,2018,7,184,1,1,18,30,2
101624.9422666667,2018,7,184,1,1,18,45,2
102314.07533333333,2018,7,184,1,1,19,0,2
100522.87639999998,2018,7,184,1,1,19,15,2
94854.64506666666,2018,7,184,1,1,19,30,2
96816.00928571427,2018,7,184,1,1,19,45,2
94020.45673333333,2018,7,184,1,1,20,0,2
89270.86386666665,2018,7,184,1,1,20,15,2
90572.27973333333,2018,7,184,1,1,20,30,2
91488.87460000001,2018,7,184,1,1,20,45,2
94563.88840000001,2018,7,184,1,1,21,0,2
94505.3536,2018,7,184,1,1,21,15,2
94998.90160000001,2018,7,184,1,1,21,30,2
95878.28300000001,2018,7,184,1,1,21,45,2
89160.63333333335,2018,7,184,1,1,22,0,2
88527.99093333333,2018,7,184,1,1,22,15,2
87680.38020000001,2018,7,184,1,1,22,30,2
87501.07606666666,2018,7,184,1,1,22,45,2
88375.20680000001,2018,7,184,1,1,23,0,2
87783.02706666666,2018,7,184,1,1,23,15,2
88383.94458823529,2018,7,184,1,1,23,30,2
86839.4382,2018,7,184,1,1,23,45,2
86560.66892857142,2018,7,185,2,1,0,0,2
87432.76573333333,2018,7,185,2,1,0,15,2
86197.35693333334,2018,7,185,2,1,0,30,2
84435.67060000001,2018,7,185,2,1,0,45,2
85564.28993333333,2018,7,185,2,1,1,0,2
84570.95019999999,2018,7,185,2,1,1,15,2
84641.80026666667,2018,7,185,2,1,1,30,2
84130.42273333334,2018,7,185,2,1,1,45,2
85611.81379999999,2018,7,185,2,1,2,0,2
86249.4226,2018,7,185,2,1,2,15,2
88281.89633333335,2018,7,185,2,1,2,30,2
90188.26993333333,2018,7,185,2,1,2,45,2
97823.38566666668,2018,7,185,2,1,3,0,2
102722.26273333332,2018,7,185,2,1,3,15,2
108579.65106666664,2018,7,185,2,1,3,30,2
105623.78193333333,2018,7,185,2,1,3,45,2
108409.53214285716,2018,7,185,2,1,4,0,2
110520.21493333335,2018,7,185,2,1,4,15,2
123012.44099999998,2018,7,185,2,1,4,30,2
129383.32440000001,2018,7,185,2,1,4,45,2
133728.23866666667,2018,7,185,2,1,5,0,2
140738.3646666667,2018,7,185,2,1,5,15,2
155136.65933333331,2018,7,185,2,1,5,30,2
170923.69799999997,2018,7,185,2,1,5,45,2
158624.4046666667,2018,7,185,2,1,6,0,2
149970.58466666666,2018,7,185,2,1,6,15,2
148755.576,2018,7,185,2,1,6,30,2
