Date,W
2018-07-26,129020.95618708346
2018-07-27,123780.3266006789
2018-07-28,117635.5961297576
2018-07-29,106400.93842738296
2018-07-30,137139.8993110215
2018-07-31,130950.30165843744
2018-08-01,125669.64208742519
2018-08-02,128389.50942077165
2018-08-03,130770.76719551234
2018-08-04,116786.52721931534
2018-08-05,116458.40623996279
2018-08-06,132216.52737191765
2018-08-07,132659.03440288437
2018-08-08,128894.69238804695
2018-08-09,123724.82330887439
2018-08-10,131091.76132381574
2018-08-11,111956.93078655539
2018-08-12,100544.00246798145
2018-08-13,128127.48499472332
2018-08-14,127689.75885989814
2018-08-15,97168.00452646526
2018-08-16,121181.2535479856
2018-08-17,114153.2867088114
2018-08-18,108793.36270338736
2018-08-19,109327.72940660811
2018-08-20,120548.72910792106
2018-08-21,115044.81633874564
2018-08-22,100085.0383460734
2018-08-23,115270.82502383414
2018-08-24,116812.06379634107
2018-08-25,92622.0790672892
2018-08-26,88850.21437222492
2018-08-27,113035.0054961734
2018-08-28,117481.513612195
2018-08-29,119309.53936759575
2018-08-30,120235.40792509507
2018-08-31,120809.38815218938
2018-09-01,98203.25226486217
2018-09-02,95090.22083733637
2018-09-03,118577.15758887301
2018-09-04,123736.19249136955
2018-09-05,115326.83608807738
2018-09-06,117409.72916124293
2018-09-07,111836.57961213832
2018-09-08,95508.43676339336
2018-09-09,86976.26017252053
2018-09-10,109142.30920025789
2018-09-11,112578.85727538199
2018-09-12,117122.20070522386
2018-09-13,92861.68574031797
2018-09-14,111647.42233498806
2018-09-15,96628.78738588297
2018-09-16,91280.53815987131
2018-09-17,121118.52772493006
2018-09-18,120552.58488451502
2018-09-19,115001.93571112624
2018-09-20,118675.26073050164
2018-09-21,106124.77041407672
2018-09-22,101397.32220074844
2018-09-23,100738.8716718106
2018-09-24,126523.4959294931
2018-09-25,128582.35450084554
2018-09-26,123157.89795880033
2018-09-27,82772.59735948656
2018-09-28,128726.67923968892
2018-09-29,115207.76881102232
2018-09-30,101137.44632001113
2018-10-01,137820.7262572325
2018-10-02,123416.71999696865
2018-10-03,134916.62922818426
2018-10-04,137977.65594349705
